Fecha y Hora,PM2.5_14D6 (μg/m³),Temperatura (°C),Humedad (%),Lat,Long
2026-01-03 06:00:00,57.05,33.36,37.76,3.4372,-76.5225
2026-01-03 07:00:00,64.71,22.99,57.49,3.4372,-76.5225
2026-01-03 08:00:00,15.92,27.03,68.96,3.4372,-76.5225
2026-01-03 09:00:00,64.44,20.89,39.74,3.4372,-76.5225
2026-01-03 10:00:00,70.31,28.54,49.45,3.4372,-76.5225
2026-01-03 11:00:00,73.46,20.43,62.67,3.4372,-76.5225
2026-01-03 12:00:00,24.05,22.34,35.56,3.4372,-76.5225
2026-01-03 13:00:00,65.35,33.32,75.66,3.4372,-76.5225
2026-01-03 14:00:00,16.85,25.51,55.73,3.4372,-76.5225
2026-01-03 15:00:00,49.07,28.86,60.46,3.4372,-76.5225
2026-01-03 16:00:00,23.76,32.37,46.95,3.4372,-76.5225
2026-01-03 17:00:00,33.85,26.21,49.23,3.4372,-76.5225
2026-01-03 18:00:00,47.89,27.77,94.56,3.4372,-76.5225
2026-01-03 19:00:00,27.14,34.63,74.49,3.4372,-76.5225
2026-01-03 20:00:00,25.59,27.62,76.15,3.4372,-76.5225
2026-01-03 21:00:00,60.85,18.83,71.38,3.4372,-76.5225
2026-01-03 22:00:00,42.25,33.37,52.17,3.4372,-76.5225
2026-01-03 23:00:00,64.91,28.32,56.14,3.4372,-76.5225
2026-01-04 00:00:00,52.75,28.56,75.67,3.4372,-76.5225
2026-01-04 01:00:00,59.07,29.21,85.3,3.4372,-76.5225
2026-01-04 02:00:00,52.12,33.36,73.78,3.4372,-76.5225
2026-01-04 03:00:00,28.17,25.49,69.77,3.4372,-76.5225
2026-01-04 04:00:00,59.93,19.53,52.71,3.4372,-76.5225
2026-01-04 05:00:00,61.06,20.99,42.93,3.4372,-76.5225
2026-01-04 06:00:00,45.46,34.52,66.85,3.4372,-76.5225
2026-01-04 07:00:00,73.51,32.12,50.42,3.4372,-76.5225
2026-01-04 08:00:00,66.85,26.19,83.39,3.4372,-76.5225
2026-01-04 09:00:00,60.99,23.76,41.91,3.4372,-76.5225
2026-01-04 10:00:00,77.22,20.39,92.99,3.4372,-76.5225
2026-01-04 11:00:00,69.51,30.31,93.8,3.4372,-76.5225
2026-01-04 12:00:00,77.55,31.68,56.95,3.4372,-76.5225
2026-01-04 13:00:00,64.3,18.24,67.19,3.4372,-76.5225
2026-01-04 14:00:00,39.11,29.44,75.34,3.4372,-76.5225
2026-01-04 15:00:00,48.84,31.98,91.42,3.4372,-76.5225
2026-01-04 16:00:00,13.13,21.97,36.5,3.4372,-76.5225
2026-01-04 17:00:00,71.32,27.54,89.92,3.4372,-76.5225
2026-01-04 18:00:00,21.6,19.07,84.43,3.4372,-76.5225
2026-01-04 19:00:00,73.2,23.14,59.5,3.4372,-76.5225
2026-01-04 20:00:00,15.48,34.09,53.26,3.4372,-76.5225
2026-01-04 21:00:00,41.95,19.65,88.24,3.4372,-76.5225
2026-01-04 22:00:00,15.17,25.71,75.23,3.4372,-76.5225
2026-01-04 23:00:00,60.74,34.08,60.15,3.4372,-76.5225
2026-01-05 00:00:00,60.67,20.63,59.89,3.4372,-76.5225
2026-01-05 01:00:00,12.43,26.32,59.49,3.4372,-76.5225
2026-01-05 02:00:00,76.36,18.56,57.23,3.4372,-76.5225
2026-01-05 03:00:00,38.25,34.16,86.33,3.4372,-76.5225
